Designator,Mid X,Mid Y,Rotation,Layer
R89,133.66,-59.17,180.0,top
R9,165.78,-122.925,270.0,top
R90,115.89,-46.97,0.0,bottom
R91,75.165,-46.945,180.0,bottom
R92,95.465,-46.92,0.0,bottom
R93,135.79,-47.02,0.0,bottom
R94,64.8525,-46.8925,0.0,bottom
R98,121.152371,-116.822764,180.0,top
R99,119.342371,-115.147764,0.0,top
SW1,148.6525,-79.4825,270.0,top
SW2,168.88,-86.03125,0.0,top
U1,165.28,-117.9625,180.0,top
U10,96.2316,-108.5425,0.0,top
U11,137.7525,-129.31,270.0,top
U14,152.8825,-96.43,180.0,top
U16,111.38,-58.36,180.0,top
U17,131.73,-58.36,180.0,top
U18,119.987371,-113.957764,180.0,top
U19,137.187629,-70.232236,0.0,top
U2,135.9825,-116.312501,270.0,top
U20,119.8925,-70.2275,0.0,top
U21,102.7325,-70.2375,0.0,top
U22,127.897371,-113.942764,180.0,top
U23,128.587629,-70.172236,0.0,top
U24,111.2625,-70.2275,0.0,top
U25,94.0425,-70.1775,0.0,top
U26,85.3025,-70.2125,0.0,top
U27,68.1625,-70.2275,0.0,top
U28,76.7425,-70.2025,0.0,top
U29,59.4625,-70.1925,0.0,top
U30,165.2125,-132.275,0.0,top
U31,168.04375,-105.96875,180.0,top
U32,181.6425,-46.065,180.0,top
U33,149.91,-51.575,0.0,top
U34,70.7125,-58.3675,180.0,top
U35,91.0325,-58.3575,180.0,top
U4,60.2425,-119.2425,180.0,top
U5,89.2325,-111.5725,180.0,top
U7,67.2425,-120.2375,0.0,top
U8,67.2425,-116.2125,0.0,top
U9,96.228666,-112.573962,0.0,top
