Designator,Mid X,Mid Y,Rotation,Layer
R23,599.6625,6.0975,180.0,top
R24,570.3025,3.5775,90.0,top
R25,568.8425,4.028591,0.0,top
R26,599.2891,11.253591,90.0,top
R27,597.8316,11.698591,0.0,top
R28,675.8825,37.1475,0.0,top
R29,675.835,31.2575,0.0,top
R3,667.06,-16.5175,0.0,top
R30,653.915,44.5275,0.0,top
R4,667.1125,-9.6275,0.0,top
R40,643.4425,7.9475,0.0,top
R41,642.0225,7.4275,270.0,top
R42,562.9875,2.3275,0.0,top
R43,591.9741,9.998591,0.0,top
R44,572.1825,0.758591,270.0,top
R45,601.1716,8.428591,270.0,top
R46,570.1025,1.258591,270.0,top
R47,599.0916,8.928591,270.0,top
R5,582.2125,-6.0825,270.0,top
R52,641.8875,-11.34,180.0,top
R53,647.6025,-9.89,0.0,top
R54,571.2425,3.5775,90.0,top
R55,600.2291,11.253591,90.0,top
R6,611.2016,1.5625,90.0,top
R60,572.1825,3.5775,90.0,top
R61,601.1691,11.253591,90.0,top
R7,672.78,7.195,90.0,top
R8,671.78,7.195,90.0,top
R80,620.46,59.77,180.0,top
R81,620.45,60.97,180.0,top
R82,665.3525,9.8525,270.0,top
R83,663.8525,9.8525,270.0,top
R84,579.59,59.85,180.0,top
R85,579.59,61.05,180.0,top
R86,599.99,59.85,180.0,top
R87,599.99,61.05,180.0,top
R88,640.7,59.85,180.0,top
R89,640.66,61.05,180.0,top
R9,672.78,-2.705,270.0,top
R90,622.89,73.25,0.0,bottom
R91,582.165,73.275,180.0,bottom
R92,602.465,73.3,0.0,bottom
R93,642.79,73.2,0.0,bottom
R94,571.8525,73.3275,0.0,bottom
R98,628.152371,3.397236,180.0,top
R99,626.342371,5.072236,0.0,top
SW1,655.6525,40.7375,270.0,top
SW2,675.88,34.18875,0.0,top
U1,672.28,2.2575,180.0,top
U10,603.2316,11.6775,0.0,top
U11,644.7525,-9.09,270.0,top
U14,659.8825,23.79,180.0,top
U16,618.38,61.86,180.0,top
U17,638.73,61.86,180.0,top
U18,626.987371,6.262236,180.0,top
U19,644.187629,49.987764,0.0,top
U2,642.9825,3.907499,270.0,top
U20,626.8925,49.9925,0.0,top
U21,609.7325,49.9825,0.0,top
U22,634.897371,6.277236,180.0,top
U23,635.587629,50.047764,0.0,top
U24,618.2625,49.9925,0.0,top
U25,601.0425,50.0425,0.0,top
U26,592.3025,50.0075,0.0,top
U27,575.1625,49.9925,0.0,top
U28,583.7425,50.0175,0.0,top
U29,566.4625,50.0275,0.0,top
U30,672.2125,-12.055,0.0,top
U31,675.04375,14.25125,180.0,top
U32,688.6425,74.155,180.0,top
U33,656.91,68.645,0.0,top
U34,577.7125,61.8525,180.0,top
U35,598.0325,61.8625,180.0,top
U4,567.2425,0.9775,180.0,top
U5,596.2325,8.6475,180.0,top
U7,574.2425,-0.0175,0.0,top
U8,574.2425,4.0075,0.0,top
U9,603.228666,7.646038,0.0,top
